"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 30 04:08:53 UTC 2025","Mon Jun 30 04:08:57 UTC 2025","4262","Selenium Test Suite","firefox Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase01","testCase01",""
"skipped","Mon Jun 30 04:11:50 UTC 2025","Mon Jun 30 04:11:50 UTC 2025","0","Selenium Test Suite","edge Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase04","testCase04",""
"passed","Mon Jun 30 04:09:11 UTC 2025","Mon Jun 30 04:09:11 UTC 2025","1","Selenium Test Suite","chrome Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase03","testCase03",""
"passed","Mon Jun 30 04:08:48 UTC 2025","Mon Jun 30 04:08:53 UTC 2025","4486","Selenium Test Suite","chrome Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase01","testCase01",""
"skipped","Mon Jun 30 04:11:50 UTC 2025","Mon Jun 30 04:11:50 UTC 2025","1","Selenium Test Suite","edge Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase03","testCase03",""
"skipped","Mon Jun 30 04:11:50 UTC 2025","Mon Jun 30 04:11:50 UTC 2025","0","Selenium Test Suite","edge Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase02","testCase02",""
"passed","Mon Jun 30 04:09:00 UTC 2025","Mon Jun 30 04:09:00 UTC 2025","0","Selenium Test Suite","firefox Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase03","testCase03",""
"passed","Mon Jun 30 04:08:50 UTC 2025","Mon Jun 30 04:08:50 UTC 2025","2","Selenium Test Suite","firefox Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase04","testCase04",""
"passed","Mon Jun 30 04:08:53 UTC 2025","Mon Jun 30 04:09:10 UTC 2025","16817","Selenium Test Suite","chrome Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase02","testCase02",""
"skipped","Mon Jun 30 04:11:50 UTC 2025","Mon Jun 30 04:11:50 UTC 2025","1","Selenium Test Suite","edge Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase01","testCase01",""
"passed","Mon Jun 30 04:09:11 UTC 2025","Mon Jun 30 04:09:11 UTC 2025","0","Selenium Test Suite","chrome Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase04","testCase04",""
"broken","Mon Jun 30 04:09:02 UTC 2025","Mon Jun 30 04:09:16 UTC 2025","13784","Selenium Test Suite","firefox Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","testCase02","testCase02",""
"broken","Mon Jun 30 04:11:50 UTC 2025","Mon Jun 30 04:11:50 UTC 2025","0","Selenium Test Suite","edge Browser Test","tests.TestSuiteMagento","tests.TestSuiteMagento","setUp","setUp",""
